URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/senologie-operation","de.basisprofil.r4"
http://fhir.de/ValueSet/lebensphase-de,1.5.4,active,,ValueSetLebensphaseDe,LebensphaseDe ValueSet,"Dieses Valueset enthält Snomedcodes zur Angabe der Lebensphase","StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/senologie-familienanamnese","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.3.831",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","StructureDefinition/senologie-nebenwirkung","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/adverse-event-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.833",AdverseEventCategory,AdverseEventCategory,"Overall categorization of the event, e.g. product-related or situational.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-assess,4.0.1,draft,"2.16.840.1.113883.4.642.3.840",AdverseEventCausalityAssessment,AdverseEventCausalityAssessment,"Codes for the assessment of whether the entity caused the event.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.842",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.836",AdverseEventOutcome,AdverseEventOutcome,"TODO (and should this be required?).","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.844",AdverseEventSeverity,AdverseEventSeverity,"The severity of the adverse event itself, in direct relation to the subject.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.835",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all SNOMED CT Clinical Findings.","StructureDefinition/senologie-nebenwirkung","SCT"
