URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://snomed.info/sct?fhir_vs=isa/373873005,null,active,,SCTValueSetFor373873005,SCT ValueSet for 373873005,"SNOMED CT Concepts that is-a 373873005","StructureDefinition/senologie-begleitmedikation","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-grading,2026.0.3,active,,MII_VS_Onko_Grading,MII VS Onkologie Grading,"Codes für Histologie Grading. Gibt den Differenzierungsgrad des Tumors entsprechend der aktuellen TNM-Auflage an.","Questionnaire/senologie-diagnose","de.medizininformatikinitiative.kerndatensatz.onkologie"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-m-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_M_Kategorie_Werte,MII VS Onkologie TNM M Kategorie Werte,"Das ValueSet enthält die TNM M-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","Questionnaire/senologie-diagnose","de.medizininformatikinitiative.kerndatensatz.onkologie"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-n-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_N_Kategorie_Werte,MII VS Onkologie TNM N Kategorie Werte,"Das ValueSet enthält die TNM N-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","Questionnaire/senologie-diagnose","de.medizininformatikinitiative.kerndatensatz.onkologie"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-t-kategorie-werte,2026.0.3,active,,MII_VS_Onko_TNM_T_Kategorie_Werte,MII VS Onkologie TNM T Kategorie Werte,"Das ValueSet enthält die TNM T-Kategorie Codes aus der UICC TNM - Klassifikation maligner Tumoren Achte Auflage.","Questionnaire/senologie-diagnose","de.medizininformatikinitiative.kerndatensatz.onkologie"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-tnm-uicc-stadium,2026.0.3,active,,MII_VS_Onko_TNM_UICC_Stadium,MII VS Onkologie TNM UICC Stadium,"The ValueSet enthält Codes für die TNM-Stadien zur prognostischen Gruppeneinteilung von Patienten.","Questionnaire/senologie-diagnose","de.medizininformatikinitiative.kerndatensatz.onkologie"
https://www.senologie.org/fhir/ValueSet/vs-oncobox-primaerfallart,0.9.0,draft,,VS_OncoBox_Primaerfallart,VS OncoBox Primaerfallart,"Primaerfallart nach OnkoZert-Systematik (OncoBox 2.0 D01)","StructureDefinition/ex-senologie-primaerfallart","Internal"
https://www.senologie.org/fhir/ValueSet/vs-senologie-diagnose,0.9.0,draft,,VS_Senologie_Diagnose,VS Senologie Diagnose,"Diagnosen für Mamma-Erkrankungen basierend auf Dotbase Codebook - SNOMED CT und lokale Codes","Questionnaire/senologie-diagnose-maligne","SCT,Internal"
https://www.senologie.org/fhir/ValueSet/vs-senologie-diagnose-b3,0.9.0,draft,,VS_Senologie_Diagnose_B3,VS Senologie B3 Läsionen,"B3 Läsionen der Mamma nach S3-Leitlinie",,"SCT"
https://www.senologie.org/fhir/ValueSet/vs-senologie-diagnose-lokal,0.9.0,draft,,VS_Senologie_Diagnose_Lokal,VS Senologie Diagnose Lokal,"Lokale Senologie-Codes ohne SNOMED CT Mapping (Binding für senologie-Slice)","StructureDefinition/senologie-diagnose-maligne","SCT,Internal"
