Output File                                                       Name                                       Type        FSH File                                                 Lines
CarePlan-Fall1-Tumorboard.json                                    Fall1-Tumorboard                           Instance    examples/example-fall1-erika-neumann.fsh                 340 - 380
CarePlan-Fall12-Tumorboard.json                                   Fall12-Tumorboard                          Instance    examples/example-fall12-renate-vogel.fsh                 178 - 205
CarePlan-Fall2-Tumorboard-Initial.json                            Fall2-Tumorboard-Initial                   Instance    examples/example-fall2-lena-hoffmann.fsh                 266 - 311
CarePlan-Fall2-Tumorboard-Progression.json                        Fall2-Tumorboard-Progression               Instance    examples/example-fall2-lena-hoffmann.fsh                 315 - 344
CarePlan-Fall4-Tumorboard.json                                    Fall4-Tumorboard                           Instance    examples/example-fall4-julia-fischer.fsh                 198 - 233
CarePlan-Fall5-Tumorboard-Neoadjuvant.json                        Fall5-Tumorboard-Neoadjuvant               Instance    examples/example-fall5-monika-braun.fsh                  220 - 260
CarePlan-Fall5-Tumorboard-Postoperativ.json                       Fall5-Tumorboard-Postoperativ              Instance    examples/example-fall5-monika-braun.fsh                  264 - 294
CarePlan-Fall7-Tumorboard.json                                    Fall7-Tumorboard                           Instance    examples/example-fall7-kathrin-mueller.fsh               199 - 235
CarePlan-Fall9-Tumorboard.json                                    Fall9-Tumorboard                           Instance    examples/example-fall9-andrea-wolf.fsh                   187 - 226
CodeSystem-cs-senologie-diagnose-lokal.json                       CS_Senologie_Diagnose_Lokal                CodeSystem  terminology/cs-senologie-diagnose.fsh                    1 - 16
CodeSystem-cs-senologie-diagnosesicherung.json                    CSSenologieDiagnosesicherung               CodeSystem  valuesets/vs-senologie-diagnosesicherung.fsh             2 - 34
CodeSystem-cs-senologie-genexpressionstest.json                   CS_Senologie_Genexpressionstest            CodeSystem  terminology/cs-senologie-genexpressionstest.fsh          1 - 18
CodeSystem-cs-senologie-metastasierung.json                       CS_Senologie_Metastasierung                CodeSystem  terminology/cs-senologie-diagnose.fsh                    19 - 34
CodeSystem-cs-senologie-studienname.json                          CS_Senologie_Studienname                   CodeSystem  profiles/bih-pr-seno-studienteilnahme.fsh                135 - 160
ConceptMap-CM-Senologie-Medikation-SCT-ASK.json                   CM-Senologie-Medikation-SCT-ASK            Instance    conceptmaps/cm-senologie-medikation-sct-ask.fsh          1 - 177
ConceptMap-CM-Senologie-Medikation-SCT-ATC.json                   CM-Senologie-Medikation-SCT-ATC            Instance    conceptmaps/cm-senologie-medikation-sct-atc.fsh          1 - 177
ConceptMap-cm-sct-to-icdo3-mamma-topographie.json                 cm-sct-to-icdo3-mamma-topographie          Instance    obds/obds-cm-quadrant-icdo3.fsh                          7 - 75
ConceptMap-cm-sct-to-obds-fm-lokalisation.json                    cm-sct-to-obds-fm-lokalisation             Instance    obds/obds-conceptmaps-reverse.fsh                        299 - 381
ConceptMap-cm-sct-to-obds-grading.json                            cm-sct-to-obds-grading                     Instance    obds/obds-conceptmaps-reverse.fsh                        127 - 167
