Exportmodul_Name,Exportverfahren,Datenfluss,Pruefer,Schritt,enc_care_provider,enc_qs_data,enc_patient,enc_patient_tx,enc_patient_ngkv,Schema
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/1,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/3,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/4,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,unverschluesselt,0,0,1,n/a,n/a,interface_DAS/interface_LQS_pid.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,pseudonymisiert,0,0,1,n/a,n/a,interface_DAS/interface_LQS_psn.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,LQS-LKG,verschluesselt,1,1,1,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,verschluesselt,1,1,0,n/a,n/a,interface_DAS_VST/interface_DAS_VST.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,VST-PSN,pseudonymisiert,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,verschluesselt,1,1,0,n/a,n/a,interface_VST_BAS/interface_VST_BAS.xsd
'09/6,DeQS_HSMDEF_LKG_PID,pid_lkg,BAS,unverschluesselt,0,0,0,n/a,n/a,interface_BAS/interface_BAS_pid.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_lqs_iv_1.0_Export.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LQS-LKG,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LQS-LKG,unverschluesselt,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LQS-LKG,pseudonymisiert,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv_psn.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,LQS-LKG,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'10/2,DeQS_KAROT_LKG,indirekt_lkg,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LE,unverschluesselt,0,0,n/a,n/a,n/a,interface_LE/2026_lqs_iv_1.0_Export.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LE,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LQS-LKG,verschluesselt,0,1,n/a,n/a,n/a,interface_LE_DAS/interface_LE_LQS_iv.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LQS-LKG,unverschluesselt,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LQS-LKG,pseudonymisiert,0,0,n/a,n/a,n/a,interface_DAS/interface_LQS_iv_psn.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,LQS-LKG,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,BAS,verschluesselt,1,1,n/a,n/a,n/a,interface_DAS_BAS/interface_DAS_BAS.xsd
'15/1,DeQS_GYN_LKG,indirekt_lkg,BAS,unverschluesselt,0,0,n/a,n/a,n/a,interface_BAS/interface_BAS_iv.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LE,unverschluesselt,0,0,0,n/a,n/a,interface_LE/2026_LQS_pid_1.0_Export.xsd
'16/1,DeQS_PERI_LKG_PID,pid_lkg,LE,verschluesselt,0,1,1,n/a,n/a,interface_LE_DAS/interface_LE_LQS_pid.xsd
